File,AOIName,StartTime,Duration,StopTime,InterfixDur,HorzPos,VertPos,AOI
test_file, Stim83, 1616176794077, 0.115649, 1616176909726, 0, 420, 660, 83
test_file, Stim67, 1616176909726, 0.577804, 1616177487530, 0, 420, 540, 67
test_file, Stim52, 1616177487530, 0.010238, 1616177497768, 0, 540, 420, 52
test_file, Stim53, 1616177497768, 0.011665, 1616177509433, 0, 660, 420, 53
test_file, Stim38, 1616177509433, 0.01133, 1616177520763, 0, 780, 300, 38
test_file, Stim39, 1616177520763, 0.010086, 1616177530849, 0, 900, 300, 39
test_file, Stim40, 1616177530849, 0.011671, 1616177542520, 0, 1020, 300, 40
test_file, Stim25, 1616177542520, 0.066756, 1616177609276, 0, 1140, 180, 25
test_file, Stim26, 1616177609276, 0.787663, 1616178396939, 0, 1260, 180, 26
test_file, Stim41, 1616178396939, 0.022792, 1616178419731, 0, 1140, 300, 41
test_file, Stim40, 1616178419731, 0.0101, 1616178429831, 0, 1020, 300, 40
test_file, Stim39, 1616178429831, 0.011812, 1616178441643, 0, 900, 300, 39
test_file, Stim53, 1616178441643, 0.011745, 1616178453388, 0, 660, 420, 53
test_file, Stim52, 1616178453388, 0.010194, 1616178463582, 0, 540, 420, 52
test_file, Stim67, 1616178463582, 0.033323, 1616178496905, 0, 420, 540, 67
test_file, Stim66, 1616178496905, 0.189791, 1616178686696, 0, 300, 540, 66
test_file, Stim67, 1616178686696, 0.521311, 1616179208007, 0, 420, 540, 67
test_file, Stim68, 1616179208007, 0.021717, 1616179229724, 0, 540, 540, 68
test_file, Stim69, 1616179229724, 0.056402, 1616179286126, 0, 660, 540, 69
test_file, Stim54, 1616179286126, 0.010109, 1616179296235, 0, 780, 420, 54
test_file, Stim55, 1616179296235, 0.023206, 1616179319441, 0, 900, 420, 55
test_file, Stim40, 1616179319441, 0.010205, 1616179329646, 0, 1020, 300, 40
test_file, Stim41, 1616179329646, 0.022925, 1616179352571, 0, 1140, 300, 41
test_file, Stim42, 1616179352571, 0.022123, 1616179374694, 0, 1260, 300, 42
test_file, Stim26, 1616179374694, 0.366284, 1616179740978, 0, 1260, 180, 26
test_file, Stim42, 1616179740978, 0.021625, 1616179762603, 0, 1260, 300, 42
test_file, Stim41, 1616179762603, 0.023243, 1616179785846, 0, 1140, 300, 41
test_file, Stim57, 1616179785846, 0.021856, 1616179807702, 0, 1140, 420, 57
test_file, Stim56, 1616179807702, 0.03333, 1616179841032, 0, 1020, 420, 56
test_file, Stim72, 1616179841032, 0.544125, 1616180385157, 0, 1020, 540, 72
test_file, Stim71, 1616180385157, 0.143562, 1616180528719, 0, 900, 540, 71
test_file, Stim70, 1616180528719, 0.644452, 1616181173171, 0, 780, 540, 70
test_file, Stim54, 1616181173171, 0.01172, 1616181184891, 0, 780, 420, 54
test_file, Stim53, 1616181184891, 0.010225, 1616181195116, 0, 660, 420, 53
test_file, Stim37, 1616181195116, 0.033013, 1616181228129, 0, 660, 300, 37
test_file, Stim36, 1616181228129, 0.023152, 1616181251281, 0, 540, 300, 36
test_file, Stim20, 1616181251281, 0.366534, 1616181617815, 0, 540, 180, 20
test_file, Stim19, 1616181617815, 0.443288, 1616182061103, 0, 420, 180, 19
test_file, Stim36, 1616182061103, 0.022621, 1616182083724, 0, 540, 300, 36
test_file, Stim37, 1616182083724, 0.010608, 1616182094332, 0, 660, 300, 37
test_file, Stim54, 1616182094332, 0.011551, 1616182105883, 0, 780, 420, 54
test_file, Stim55, 1616182105883, 0.021822, 1616182127705, 0, 900, 420, 55
test_file, Stim71, 1616182127705, 0.011378, 1616182139083, 0, 900, 540, 71
test_file, Stim72, 1616182139083, 0.554785, 1616182693868, 0, 1020, 540, 72
test_file, Stim71, 1616182693868, 0.166428, 1616182860296, 0, 900, 540, 71
test_file, Stim70, 1616182860296, 1.1774, 1616184037700, 0, 780, 540, 70
test_file, Stim54, 1616184037700, 0.033558, 1616184071258, 0, 780, 420, 54
test_file, Stim38, 1616184071258, 0.121506, 1616184192764, 0, 780, 300, 38
test_file, Stim22, 1616184192764, 0.099798, 1616184292562, 0, 780, 180, 22
test_file, Stim23, 1616184292562, 0.244858, 1616184537420, 0, 900, 180, 23
test_file, Stim22, 1616184537420, 0.066547, 1616184603967, 0, 780, 180, 22
test_file, Stim21, 1616184603967, 0.421396, 1616185025363, 0, 660, 180, 21
test_file, Stim22, 1616185025363, 0.033218, 1616185058581, 0, 780, 180, 22
test_file, Stim23, 1616185058581, 0.066617, 1616185125198, 0, 900, 180, 23
test_file, Stim24, 1616185125198, 0.322719, 1616185447917, 0, 1020, 180, 24
test_file, Stim39, 1616185447917, 0.022151, 1616185470068, 0, 900, 300, 39
test_file, Stim38, 1616185470068, 0.021833, 1616185491901, 0, 780, 300, 38
test_file, Stim37, 1616185491901, 0.089394, 1616185581295, 0, 660, 300, 37
test_file, Stim36, 1616185581295, 0.175723, 1616185757018, 0, 540, 300, 36
test_file, Stim52, 1616185757018, 0.079031, 1616185836049, 0, 540, 420, 52
test_file, Stim36, 1616185836049, 0.221969, 1616186058018, 0, 540, 300, 36
test_file, Stim20, 1616186058018, 0.389404, 1616186447422, 0, 540, 180, 20
test_file, Stim36, 1616186447422, 0.033274, 1616186480696, 0, 540, 300, 36
test_file, Stim52, 1616186480696, 0.021972, 1616186502668, 0, 540, 420, 52
